track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,station,date,time,length,tot_score,avg_score,viewed,user_labeled,label
24,KBUF20160107_121946_V06,-26,0.685,357.450000,267.65,15.450000,-78.38,43.093666,7725.000000,KBUF,20160107,121946,1,0.685,0.685,true,false,non-roost
30,KBUF20160107_123931_V06,-6,-0.025,236.300000,260.30,24.500000,-79.13,43.126620,12250.000000,KBUF,20160107,123931,2,-0.40800000000000003,-0.20400000000000001,true,false,non-roost
30,KBUF20160107_124427_V06,-1,-0.383,238.547695,258.90,34.842833,-79.11,43.132982,17421.416597,KBUF,20160107,124427,2,-0.40800000000000003,-0.20400000000000001,true,false,non-roost
31-32,KBUF20160107_124427_V06,-1,0.606,350.500000,236.80,12.400000,-78.43,43.232632,6200.000000,KBUF,20160107,124427,2,0.5619999999999999,0.28099999999999997,true,false,non-roost
31-32,KBUF20160107_124923_V06,4,-0.044,349.750000,235.85,9.950000,-78.43,43.236920,4975.000000,KBUF,20160107,124923,2,0.5619999999999999,0.28099999999999997,true,false,non-roost
33,KBUF20160108_122505_V06,-20,-0.214,251.750000,261.30,15.750000,-79.03,43.122405,7875.000000,KBUF,20160108,122505,2,-0.689,-0.3445,true,false,non-roost
33,KBUF20160108_122843_V06,-17,-0.475,251.823529,261.12,22.570588,-79.03,43.123200,11285.294118,KBUF,20160108,122843,2,-0.689,-0.3445,true,false,non-roost
34,KBUF20160108_123934_V06,-6,0.420,423.700000,220.95,12.600000,-77.97,43.301857,6300.000000,KBUF,20160108,123934,5,0.786,0.1572,true,true,other-roost
34,KBUF20160108_124312_V06,-2,0.435,422.260000,219.79,15.160000,-77.98,43.307136,7580.000000,KBUF,20160108,124312,5,0.786,0.1572,true,true,other-roost
34,KBUF20160108_124649_V06,1,0.000,421.474545,219.16,18.765455,-77.99,43.310015,9382.727273,KBUF,20160108,124649,5,0.786,0.1572,true,true,other-roost
34,KBUF20160108_125026_V06,5,0.000,420.427273,218.31,23.572727,-77.99,43.313854,11786.363636,KBUF,20160108,125026,5,0.786,0.1572,true,true,other-roost
34,KBUF20160108_125404_V06,9,-0.069,413.920222,219.89,27.155463,-78.03,43.307005,13577.731524,KBUF,20160108,125404,5,0.786,0.1572,true,true,other-roost
35,KBUF20160108_123934_V06,-6,0.034,237.450000,254.55,24.050000,-79.12,43.152523,12025.000000,KBUF,20160108,123934,2,-0.29800000000000004,-0.14900000000000002,true,false,non-roost
35,KBUF20160108_124312_V06,-2,-0.332,237.866821,255.41,33.233549,-79.12,43.148642,16616.774492,KBUF,20160108,124312,2,-0.29800000000000004,-0.14900000000000002,true,false,non-roost
37,KBUF20160108_124312_V06,-2,0.326,342.800000,238.15,12.100000,-78.47,43.226675,6050.000000,KBUF,20160108,124312,3,0.5780000000000001,0.19266666666666668,true,true,other-roost
37,KBUF20160108_124649_V06,1,0.377,340.573973,237.88,14.960274,-78.49,43.227938,7480.136986,KBUF,20160108,124649,3,0.5780000000000001,0.19266666666666668,true,true,other-roost
37,KBUF20160108_125026_V06,5,-0.125,339.642805,235.75,21.902415,-78.49,43.237520,10951.207551,KBUF,20160108,125026,3,0.5780000000000001,0.19266666666666668,true,true,other-roost
63,KBUF20160111_122017_V06,-25,-0.304,253.150000,262.45,12.550000,-79.02,43.117251,6275.000000,KBUF,20160111,122017,2,-0.823,-0.4115,true,false,non-roost
63,KBUF20160111_122356_V06,-22,-0.519,252.824235,262.53,20.250197,-79.03,43.116879,10125.098717,KBUF,20160111,122356,2,-0.823,-0.4115,true,false,non-roost
104,KBUF20160114_125003_V06,7,-0.160,253.450000,262.90,16.150000,-79.02,43.115230,8075.000000,KBUF,20160114,125003,3,-0.778,-0.25933333333333336,true,false,non-roost
104,KBUF20160114_125341_V06,10,-0.202,253.280317,262.62,22.338235,-79.02,43.116500,11169.117647,KBUF,20160114,125341,3,-0.778,-0.25933333333333336,true,false,non-roost
104,KBUF20160114_125719_V06,14,-0.416,248.263594,262.43,28.525079,-79.05,43.117280,14262.539688,KBUF,20160114,125719,3,-0.778,-0.25933333333333336,true,false,non-roost
107,KBUF20160115_122419_V06,-19,-0.118,230.600000,277.65,22.500000,-79.16,43.048410,11250.000000,KBUF,20160115,122419,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_123410_V06,-9,-0.094,240.527245,255.95,26.691950,-79.10,43.146286,13345.975232,KBUF,20160115,123410,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_124403_V06,1,-0.508,254.536333,262.20,26.356791,-79.02,43.118376,13178.395747,KBUF,20160115,124403,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_125354_V06,10,0.000,266.843258,266.10,26.432588,-78.94,43.101002,13216.294047,KBUF,20160115,125354,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_130345_V06,20,-0.491,255.178898,264.68,24.560147,-79.01,43.107259,12280.073295,KBUF,20160115,130345,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_131336_V06,30,0.000,254.577559,265.76,23.541993,-79.02,43.102354,11770.996680,KBUF,20160115,131336,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_132327_V06,40,-0.337,238.103057,242.96,26.425508,-79.12,43.204714,13212.753823,KBUF,20160115,132327,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_133319_V06,50,-0.490,240.596532,244.01,25.396118,-79.10,43.200044,12698.058849,KBUF,20160115,133319,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_134311_V06,60,0.000,241.559953,243.36,24.644956,-79.10,43.202948,12322.478011,KBUF,20160115,134311,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_135302_V06,70,0.000,242.523375,242.72,23.893794,-79.09,43.205852,11946.897174,KBUF,20160115,135302,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_141243_V06,89,0.000,244.353875,241.50,22.466587,-79.08,43.211368,11233.293582,KBUF,20160115,141243,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_142234_V06,99,0.000,245.317297,240.86,21.715425,-79.07,43.214271,10857.712745,KBUF,20160115,142234,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_143225_V06,109,0.000,246.280718,240.22,20.964264,-79.07,43.217174,10482.131907,KBUF,20160115,143225,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_144215_V06,119,0.000,247.244139,239.58,20.213102,-79.06,43.220076,10106.551069,KBUF,20160115,144215,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_145206_V06,129,-0.498,248.899323,263.88,24.195365,-79.05,43.110766,12097.682274,KBUF,20160115,145206,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
107,KBUF20160115_150157_V06,138,-0.489,249.387142,266.68,24.249621,-79.05,43.098138,12124.810532,KBUF,20160115,150157,16,-3.0249999999999995,-0.18906249999999997,true,true,other-roost
108,KBUF20160115_123410_V06,-9,0.383,347.150000,238.05,11.950000,-78.45,43.227060,5975.000000,KBUF,20160115,123410,2,0.5760000000000001,0.28800000000000003,true,true,other-roost
108,KBUF20160115_124403_V06,1,0.193,352.676554,230.50,22.782254,-78.41,43.260956,11391.126943,KBUF,20160115,124403,2,0.5760000000000001,0.28800000000000003,true,true,other-roost
111,KBUF20160116_125606_V06,14,-0.018,318.050000,268.15,25.750000,-78.63,43.091905,12875.000000,KBUF,20160116,125606,2,-0.366,-0.183,true,false,non-roost
